Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name
2021-11-13 09:30,2021-11-13 10:35,"Straight Leg Deadlifts",100.0,8,"RPE: 6",,,,Legs,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Straight Leg Deadlifts",110.0,8,"RPE: 8",,,,Legs,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Straight Leg Deadlifts",110.0,8,"RPE: 8",,,,Legs,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Straight Leg Deadlifts",110.0,8,"RPE: 10 Too heavy wait for the pause at the bottom",,,,Legs,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Pull Up",83.0,3,"",,,,Back,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Negative Pull Ups",83.0,8,"",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Negative Pull Ups",83.0,7,"",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Negative Pull Ups",83.0,7,"",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Front Shoulder Raise",25.0,5,"Tough after pullups",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Front Shoulder Raise",25.0,5,"",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Front Shoulder Raise",25.0,5,"",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Shoulder Shrug",25.0,10,"",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Shoulder Shrug",25.0,10,"",,,,Shoulders,"Saturday"
2021-11-13 09:30,2021-11-13 10:35,"Shoulder Shrug",25.0,10,"",,,,Shoulders,"Saturday"
2021-11-12 15:58,2021-11-12 17:22,"High Bar Squat",100.0,5,"RPE: 8",,,,Legs,"Friday workout"
2021-11-12 15:58,2021-11-12 17:22,"High Bar Squat",100.0,5,"RPE: 8",,,,Legs,"Friday workout"
2021-11-12 15:58,2021-11-12 17:22,"High Bar Squat",100.0,5,"RPE: 8",,,,Legs,"Friday workout"
2021-11-12 15:58,2021-11-12 17:22,"High Bar Squat",100.0,5,"RPE: 8",,,,Legs,"Friday workout"
2021-11-12 15:58,2021-11-12 17:22,"Bench Press",70.0,5,"RPE: 8",,,,Chest,"Friday workout"
2021-11-12 15:58,2021-11-12 17:22,"Bench Press",70.0,5,"RPE: 8",,,,Chest,"Friday workout"
2021-11-12 15:58,2021-11-12 17:22,"Bench Press",70.0,5,"RPE: 8",,,,Chest,"Friday workout"
2021-11-12 15:58,2021-11-12 17:22,"Bench Press",70.0,5,"RPE: ",,,,Chest,"Friday workout"
2021-11-10 17:09,2021-11-10 18:05,"Straight Leg Deadlifts",110.0,6,"",,,,Legs,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Straight Leg Deadlifts",115.0,6,"RPE 8",,,,Legs,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Straight Leg Deadlifts",115.0,6,"",,,,Legs,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Straight Leg Deadlifts",115.0,6,"",,,,Legs,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Bench Press",67.5,3,"",,,,Chest,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Bench Press",70.0,3,"",,,,Chest,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Bench Press",70.0,3,"",,,,Chest,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Bench Press",70.0,3,"Stay here for a bit - shoulder hurt a touch",,,,Chest,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Front Shoulder Raise",25.0,8,"",,,,Shoulders,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Front Shoulder Raise",25.0,8,"",,,,Shoulders,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Front Shoulder Raise",25.0,8,"",,,,Shoulders,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Shoulder Shrug",25.0,8,"",,,,Shoulders,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Shoulder Shrug",25.0,8,"",,,,Shoulders,"Wednesday"
2021-11-10 17:09,2021-11-10 18:05,"Shoulder Shrug",25.0,8,"",,,,Shoulders,"Wednesday"
2021-11-08 17:09,2021-11-08 18:03,"Squat",120.0,1,"Easy",,,,Legs,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Squat",110.0,4,"",,,,Legs,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Squat",100.0,4,"",,,,Legs,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Squat",100.0,4,"",,,,Legs,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Bench Press",60.0,4,"",,,,Chest,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Bench Press",62.5,4,"",,,,Chest,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Bench Press",65.0,4,"",,,,Chest,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Bench Press",67.5,4,"",,,,Chest,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Front Shoulder Raise",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Front Shoulder Raise",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Front Shoulder Raise",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Front Shoulder Raise",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Shoulder Shrug",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Shoulder Shrug",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Shoulder Shrug",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-08 17:09,2021-11-08 18:03,"Shoulder Shrug",25.0,8,"",,,,Shoulders,"Monday Workout"
2021-11-07 20:41,2021-11-07 21:09,"Straight Leg Deadlifts",102.5,8,"Not too bad",,,,Legs,"Sunday evening"
2021-11-07 20:41,2021-11-07 21:09,"Straight Leg Deadlifts",102.5,8,"",,,,Legs,"Sunday evening"
2021-11-07 20:41,2021-11-07 21:09,"Straight Leg Deadlifts",102.5,8,"",,,,Legs,"Sunday evening"
2021-11-07 20:41,2021-11-07 21:09,"Straight Leg Deadlifts",102.5,8,"RPE 9",,,,Legs,"Sunday evening"
2021-11-07 20:41,2021-11-07 21:09,"Pull Up",84.3,2,"Failed",,,,Back,"Sunday evening"
2021-11-07 20:41,2021-11-07 21:09,"Pull Up",84.3,2,"",,,,Back,"Sunday evening"
2021-11-07 20:41,2021-11-07 21:09,"Negative Pull Ups",84.3,8,"Tough",,,,Shoulders,"Sunday evening"
2021-11-07 20:41,2021-11-07 21:09,"Negative Pull Ups",84.6,3,"",,,,Shoulders,"Sunday evening"
2021-11-05 17:12,2021-11-05 18:04,"High Bar Squat",100.0,1,"Feels too weird",,,,Legs,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"High Bar Squat",80.0,5,"Feels okay",,,,Legs,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"High Bar Squat",90.0,5,"",,,,Legs,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"High Bar Squat",90.0,5,"",,,,Legs,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"High Bar Squat",90.0,5,"",,,,Legs,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"Bench Press",60.0,5,"After warmups didn't feel so bad",,,,Chest,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"Bench Press",60.0,5,"Pain is better",,,,Chest,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"Bench Press",60.0,5,"4",,,,Chest,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"Bench Press",60.0,5,"5",,,,Chest,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"Dumbbell Lateral Raises",25.0,8,"Accessory ",,,,Shoulders,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"Dumbbell Lateral Raises",25.0,8,"",,,,Shoulders,"Friday workout"
2021-11-05 17:12,2021-11-05 18:04,"Dumbbell Lateral Raises",25.0,8,"",,,,Shoulders,"Friday workout"
2021-11-03 17:07,2021-11-03 18:29,"Straight Leg Deadlifts",102.5,7,"Tough",,,,Legs,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"Straight Leg Deadlifts",100.0,7,"Tough",,,,Legs,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"Straight Leg Deadlifts",100.0,7,"Tough",,,,Legs,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"Bench Press",60.0,3,"3 second pause",,,,Chest,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"Bench Press",70.0,3,"3 second pause",,,,Chest,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"Bench Press",72.5,3,"3 second pause 1-2 left in the tank",,,,Chest,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"Bench Press",72.5,3,"",,,,Chest,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"split squats",80.0,20,"",,,,Legs,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"split squats",80.0,15,"",,,,Legs,"Wednesday afternoon"
2021-11-03 17:07,2021-11-03 18:29,"split squats",80.0,15,"",,,,Legs,"Wednesday afternoon"
2021-11-01 17:10,2021-11-01 18:15,"Squat",100.0,1,"Easy",,,,Legs,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Squat",105.0,1,"Easy",,,,Legs,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Squat",110.0,1,"Easy",,,,Legs,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Squat",100.0,4,"Medium",,,,Legs,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Squat",100.0,4,"Medium ",,,,Legs,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",40.0,4,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",50.0,4,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",60.0,4,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",70.0,1,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",75.0,1,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",80.0,1,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",72.5,4,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Bench Press",72.5,4,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Overhead Press",40.0,7,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Overhead Press",40.0,7,"",,,,Chest,"Monday Workout"
2021-11-01 17:10,2021-11-01 18:15,"Overhead Press",40.0,7,"Will go up next time",,,,Chest,"Monday Workout"
2021-10-31 17:47,2021-10-31 18:23,"Straight Leg Deadlifts",75.0,7,"RPE 7",,,,Legs,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Straight Leg Deadlifts",75.0,7,"RPE 7",,,,Legs,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Straight Leg Deadlifts",75.0,7,"RPE 7",,,,Legs,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Pull Up",82.0,2,"Failed",,,,Back,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Pull Up",82.0,4,"Failed",,,,Back,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Pull Up",82.0,4,"",,,,Back,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Dumbbell Bicep Curl",30.0,10,"",,,,Biceps,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Dumbbell Bicep Curl",30.0,10,"",,,,Biceps,"Afternoon workout"
2021-10-31 17:47,2021-10-31 18:23,"Dumbbell Bicep Curl",30.0,10,"",,,,Biceps,"Afternoon workout"
